14 Oct 2023 | 00:12:30,805 | DEBUG | pool-2-thread-3 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:12:30,808 | DEBUG | pool-2-thread-3 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:12:55,133 | DEBUG | pool-2-thread-8 | rmq | Save result tx md5
14 Oct 2023 | 00:12:55,136 | DEBUG | pool-2-thread-8 | rmq | saveResultTaiXiu Test2: 26766 md5:true
14 Oct 2023 | 00:12:55,748 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:12:55,751 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:13:45,169 | DEBUG | pool-2-thread-7 | rmq | saveResultTaiXiu Test1: 266236 md5:false
14 Oct 2023 | 00:13:45,911 | DEBUG | pool-2-thread-7 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:13:45,915 | DEBUG | pool-2-thread-7 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:14:00,162 | DEBUG | pool-2-thread-6 | rmq | Save result tx md5
14 Oct 2023 | 00:14:00,166 | DEBUG | pool-2-thread-6 | rmq | saveResultTaiXiu Test2: 26767 md5:true
14 Oct 2023 | 00:14:00,795 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:14:00,799 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:15:00,045 | DEBUG | pool-2-thread-4 | rmq | saveResultTaiXiu Test1: 266237 md5:false
14 Oct 2023 | 00:15:00,577 | DEBUG | pool-2-thread-4 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:15:00,580 | DEBUG | pool-2-thread-4 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:15:05,289 | DEBUG | pool-2-thread-3 | rmq | Save result tx md5
14 Oct 2023 | 00:15:05,291 | DEBUG | pool-2-thread-3 | rmq | saveResultTaiXiu Test2: 26768 md5:true
14 Oct 2023 | 00:15:06,084 | DEBUG | pool-2-thread-3 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:15:06,088 | DEBUG | pool-2-thread-3 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:16:10,301 | DEBUG | pool-2-thread-10 | rmq | Save result tx md5
14 Oct 2023 | 00:16:10,304 | DEBUG | pool-2-thread-10 | rmq | saveResultTaiXiu Test2: 26769 md5:true
14 Oct 2023 | 00:16:11,122 | DEBUG | pool-2-thread-10 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:16:11,126 | DEBUG | pool-2-thread-10 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:16:15,385 | DEBUG | pool-2-thread-5 | rmq | saveResultTaiXiu Test1: 266238 md5:false
14 Oct 2023 | 00:16:16,202 | DEBUG | pool-2-thread-5 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:16:16,205 | DEBUG | pool-2-thread-5 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:17:15,468 | DEBUG | pool-2-thread-8 | rmq | Save result tx md5
14 Oct 2023 | 00:17:15,473 | DEBUG | pool-2-thread-8 | rmq | saveResultTaiXiu Test2: 26770 md5:true
14 Oct 2023 | 00:17:16,531 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:17:16,536 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:17:30,509 | DEBUG | pool-2-thread-2 | rmq | saveResultTaiXiu Test1: 266239 md5:false
14 Oct 2023 | 00:17:31,525 | DEBUG | pool-2-thread-2 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:17:31,528 | DEBUG | pool-2-thread-2 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:18:20,088 | DEBUG | pool-2-thread-7 | rmq | Save result tx md5
14 Oct 2023 | 00:18:20,093 | DEBUG | pool-2-thread-7 | rmq | saveResultTaiXiu Test2: 26771 md5:true
14 Oct 2023 | 00:18:20,605 | DEBUG | pool-2-thread-7 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:18:20,609 | DEBUG | pool-2-thread-7 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:18:45,309 | DEBUG | pool-2-thread-6 | rmq | saveResultTaiXiu Test1: 266240 md5:false
14 Oct 2023 | 00:18:46,098 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:18:46,101 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:19:24,964 | DEBUG | pool-2-thread-4 | rmq | Save result tx md5
14 Oct 2023 | 00:19:24,966 | DEBUG | pool-2-thread-4 | rmq | saveResultTaiXiu Test2: 26772 md5:true
14 Oct 2023 | 00:19:25,333 | DEBUG | pool-2-thread-4 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:19:25,338 | DEBUG | pool-2-thread-4 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:20:00,133 | DEBUG | pool-2-thread-7 | rmq | saveResultTaiXiu Test1: 266241 md5:false
14 Oct 2023 | 00:20:00,777 | DEBUG | pool-2-thread-7 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:20:00,781 | DEBUG | pool-2-thread-7 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:20:30,220 | DEBUG | pool-2-thread-3 | rmq | Save result tx md5
14 Oct 2023 | 00:20:30,225 | DEBUG | pool-2-thread-3 | rmq | saveResultTaiXiu Test2: 26773 md5:true
14 Oct 2023 | 00:20:30,853 | DEBUG | pool-2-thread-3 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:20:30,858 | DEBUG | pool-2-thread-3 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:21:15,181 | DEBUG | pool-2-thread-2 | rmq | saveResultTaiXiu Test1: 266242 md5:false
14 Oct 2023 | 00:21:15,798 | DEBUG | pool-2-thread-2 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:21:15,801 | DEBUG | pool-2-thread-2 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:21:35,467 | DEBUG | pool-2-thread-3 | rmq | Save result tx md5
14 Oct 2023 | 00:21:35,470 | DEBUG | pool-2-thread-3 | rmq | saveResultTaiXiu Test2: 26774 md5:true
14 Oct 2023 | 00:21:36,443 | DEBUG | pool-2-thread-3 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:21:36,449 | DEBUG | pool-2-thread-3 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:22:30,423 | DEBUG | pool-2-thread-5 | rmq | saveResultTaiXiu Test1: 266243 md5:false
14 Oct 2023 | 00:22:31,443 | DEBUG | pool-2-thread-5 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:22:31,446 | DEBUG | pool-2-thread-5 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:22:40,093 | DEBUG | pool-2-thread-9 | rmq | Save result tx md5
14 Oct 2023 | 00:22:40,096 | DEBUG | pool-2-thread-9 | rmq | saveResultTaiXiu Test2: 26775 md5:true
14 Oct 2023 | 00:22:40,621 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:22:40,626 | DEBUG | pool-2-thread-9 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:23:45,444 | DEBUG | pool-2-thread-7 | rmq | saveResultTaiXiu Test1: 266244 md5:false
14 Oct 2023 | 00:23:46,208 | DEBUG | pool-2-thread-6 | rmq | Save result tx md5
14 Oct 2023 | 00:23:46,211 | DEBUG | pool-2-thread-6 | rmq | saveResultTaiXiu Test2: 26776 md5:true
14 Oct 2023 | 00:23:46,535 | DEBUG | pool-2-thread-7 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:23:46,539 | DEBUG | pool-2-thread-7 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:23:47,605 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:23:47,610 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:24:50,547 | DEBUG | pool-2-thread-3 | rmq | Save result tx md5
14 Oct 2023 | 00:24:50,549 | DEBUG | pool-2-thread-3 | rmq | saveResultTaiXiu Test2: 26777 md5:true
14 Oct 2023 | 00:24:51,535 | DEBUG | pool-2-thread-3 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:24:51,541 | DEBUG | pool-2-thread-3 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:25:00,605 | DEBUG | pool-2-thread-9 | rmq | saveResultTaiXiu Test1: 266245 md5:false
14 Oct 2023 | 00:25:01,855 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:25:01,858 | DEBUG | pool-2-thread-9 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:25:55,279 | DEBUG | pool-2-thread-8 | rmq | Save result tx md5
14 Oct 2023 | 00:25:55,284 | DEBUG | pool-2-thread-8 | rmq | saveResultTaiXiu Test2: 26778 md5:true
14 Oct 2023 | 00:25:56,024 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:25:56,030 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:26:15,226 | DEBUG | pool-2-thread-10 | rmq | saveResultTaiXiu Test1: 266246 md5:false
14 Oct 2023 | 00:26:15,987 | DEBUG | pool-2-thread-10 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:26:15,989 | DEBUG | pool-2-thread-10 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:27:00,089 | DEBUG | pool-2-thread-10 | rmq | Save result tx md5
14 Oct 2023 | 00:27:00,093 | DEBUG | pool-2-thread-10 | rmq | saveResultTaiXiu Test2: 26779 md5:true
14 Oct 2023 | 00:27:00,588 | DEBUG | pool-2-thread-10 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:27:00,595 | DEBUG | pool-2-thread-10 | rmq | TOP WIN XU MD5: 0
14 Oct 2023 | 00:27:30,231 | DEBUG | pool-2-thread-9 | rmq | saveResultTaiXiu Test1: 266247 md5:false
14 Oct 2023 | 00:27:31,068 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN: 20
14 Oct 2023 | 00:27:31,072 | DEBUG | pool-2-thread-9 | rmq | TOP WIN XU: 0
14 Oct 2023 | 00:28:05,008 | DEBUG | pool-2-thread-9 | rmq | Save result tx md5
14 Oct 2023 | 00:28:05,011 | DEBUG | pool-2-thread-9 | rmq | saveResultTaiXiu Test2: 26780 md5:true
14 Oct 2023 | 00:28:05,431 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN MD5: 20
14 Oct 2023 | 00:28:05,437 | DEBUG | pool-2-thread-9 | rmq | TOP WIN XU MD5: 0
