2023-10-14 00:01:19,352 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: laogiakhotinh, money exchange= -34000
2023-10-14 00:01:19,355 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: TienNgoc8x, money exchange= -200
2023-10-14 00:01:19,375 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: boymixing, money exchange= 33320
2023-10-14 00:01:19,382 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: dungdennua, money exchange= 196
2023-10-14 00:01:19,394 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: thabetroisong, money exchange= -50000
2023-10-14 00:01:19,403 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: gaothettenem, money exchange= -4000
2023-10-14 00:01:19,409 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: nhanhlamemaj, money exchange= -70000
2023-10-14 00:01:29,912 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: hahoahuesas2, money exchange= 392
2023-10-14 00:01:29,925 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: cocteado, money exchange= -400
2023-10-14 00:01:30,342 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: ngayuadoita, money exchange= -45000
2023-10-14 00:01:30,351 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: lithanxon33, money exchange= -6000
2023-10-14 00:01:30,359 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: gamethu, money exchange= -95000
2023-10-14 00:01:30,367 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: mogkjemdctien, money exchange= 5880
2023-10-14 00:01:41,425 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: combinhdan, money exchange= 98
2023-10-14 00:01:41,439 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: hatluongchua, money exchange= 686
2023-10-14 00:01:42,400 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: treconah, money exchange= -18000
2023-10-14 00:01:42,407 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: gialank, money exchange= -100
2023-10-14 00:01:42,420 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: buoctocdenz, money exchange= -22000
2023-10-14 00:01:42,425 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: DungLXTH, money exchange= 98
2023-10-14 00:01:42,442 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: emxinhcoquyen, money exchange= 39200
2023-10-14 00:01:44,351 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: sacpinday, money exchange= -200
2023-10-14 00:01:44,368 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: Kuroshitsuji123, money exchange= 196
2023-10-14 00:01:44,899 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: bachcottinh12, money exchange= -6000
2023-10-14 00:01:44,911 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: thondentanron, money exchange= 5880
2023-10-14 00:01:45,417 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: chodoingaymai, money exchange= -100
