26 Sep 2023 | 01:18:51,343 | DEBUG | pool-2-thread-10 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:18:51,374 | DEBUG | pool-2-thread-4 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:18:51,374 | DEBUG | pool-2-thread-4 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:19:56,336 | DEBUG | pool-2-thread-5 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:19:56,338 | DEBUG | pool-2-thread-4 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:19:56,342 | DEBUG | pool-2-thread-5 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:19:56,345 | DEBUG | pool-2-thread-4 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:19:56,372 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:19:56,372 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:21:01,335 | DEBUG | pool-2-thread-2 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:21:01,338 | DEBUG | pool-2-thread-1 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:21:01,345 | DEBUG | pool-2-thread-2 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:21:01,347 | DEBUG | pool-2-thread-1 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:21:01,372 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:21:01,372 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:22:06,332 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:22:06,338 | DEBUG | pool-2-thread-2 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:22:06,341 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:22:06,345 | DEBUG | pool-2-thread-2 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:22:06,375 | DEBUG | pool-2-thread-4 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:22:06,375 | DEBUG | pool-2-thread-4 | rmq | TOP WIN XU MD5: 0
