14 Oct 2023, 00:00:06,383 , 1000,    1,      56,Hoathanhque2001,      10000,     XDDC<,                '0;1,00:00:06 14-10-2023
14 Oct 2023, 00:00:07,426 , 1000,    1,      56,Hoathanhque2001,       1000,     XDDC<,                '0;1,00:00:07 14-10-2023
14 Oct 2023, 00:00:07,575 , 1000,    1,      56,      hungcamap,       1000,     XDDC<,                '0;0,00:00:07 14-10-2023
14 Oct 2023, 00:00:07,585 , 1000,    1,      56,       Algernon,     100000,     XDDC<,                '0;0,00:00:07 14-10-2023
14 Oct 2023, 00:00:08,172 , 1000,    1,      56,    hoacomay003,       1000,     XDDC<,                '0;0,00:00:08 14-10-2023
14 Oct 2023, 00:00:09,077 , 1000,    1,      56,    hoacomay003,      10000,     XDDC<,                '0;0,00:00:09 14-10-2023
14 Oct 2023, 00:00:09,224 , 1000,    1,      56,    Trangtrug96,       1000,     XDDC<,                '0;1,00:00:09 14-10-2023
14 Oct 2023, 00:00:09,974 , 1000,    1,      56,    hoacomay003,       1000,     XDDC<,                '0;0,00:00:09 14-10-2023
14 Oct 2023, 00:00:10,572 , 1000,    1,      56,  Nguoitinhbian,       1000,     XDDC<,                '0;0,00:00:10 14-10-2023
14 Oct 2023, 00:00:10,584 , 1000,    1,      56,      AlifRezki,       1000,     XDDC<,                '0;0,00:00:10 14-10-2023
14 Oct 2023, 00:00:11,324 , 1000,    1,      56,       Algernon,       1000,     XDDC<,                '0;0,00:00:11 14-10-2023
14 Oct 2023, 00:00:11,625 , 1000,    1,      56,         Aubree,       1000,     XDDC<,                '0;0,00:00:11 14-10-2023
14 Oct 2023, 00:00:11,775 , 1000,    1,      56,         Aubree,     100000,     XDDC<,                '0;0,00:00:11 14-10-2023
14 Oct 2023, 00:00:11,925 , 1000,    1,      56,      AlifRezki,      10000,     XDDC<,                '0;0,00:00:11 14-10-2023
14 Oct 2023, 00:00:12,075 , 1000,    1,      56,  Nguoitinhbian,      10000,     XDDC<,                '0;0,00:00:12 14-10-2023
14 Oct 2023, 00:00:12,681 , 1000,    1,      56,    hoacomay003,     100000,     XDDC<,                '0;0,00:00:12 14-10-2023
14 Oct 2023, 00:00:12,825 , 1000,    1,      56,         Aubree,       1000,     XDDC<,                '0;0,00:00:12 14-10-2023
14 Oct 2023, 00:00:13,122 , 1000,    1,      56,      AlifRezki,     100000,     XDDC<,                '0;0,00:00:13 14-10-2023
14 Oct 2023, 00:00:13,887 , 1000,    1,      56,  Nguoitinhbian,       1000,     XDDC<,                '0;0,00:00:13 14-10-2023
14 Oct 2023, 00:00:13,929 , 1000,    1,      56,         Aubree,       1000,     XDDC<,                '0;0,00:00:13 14-10-2023
14 Oct 2023, 00:00:14,023 , 1000,    1,      56,    hoacomay003,       1000,     XDDC<,                '0;0,00:00:14 14-10-2023
14 Oct 2023, 00:00:14,173 , 1000,    1,      56,         Aubree,       1000,     XDDC<,                '0;0,00:00:14 14-10-2023
14 Oct 2023, 00:00:14,323 , 1000,    1,      56,         Aubree,       1000,     XDDC<,                '0;0,00:00:14 14-10-2023
14 Oct 2023, 00:00:14,772 , 1000,    1,      56,         Aubree,       1000,     XDDC<,                '0;0,00:00:14 14-10-2023
14 Oct 2023, 00:00:15,073 , 1000,    1,      56,      AlifRezki,     100000,     XDDC<,                '0;0,00:00:15 14-10-2023
